Temperature - (Celsius), Year,Statistics, Country, ISO3,
23.5871,2004,Jun,Average, AFG,
25.2224,2004,Jul,Average, AFG,
24.3188,2004,Aug,Average, AFG,
19.8138,2004,Sep,Average, AFG,
12.3066,2004,Oct,Average, AFG,
9.41479,2004,Nov,Average, AFG,
3.10866,2004,Dec,Average, AFG,
0.33975,2005,Jan,Average, AFG,
0.80086,2005,Feb,Average, AFG,
9.18563,2005,Mar,Average, AFG,
13.5752,2005,Apr,Average, AFG,
16.9292,2005,May,Average, AFG,
23.7403,2005,Jun,Average, AFG,
25.7917,2005,Jul,Average, AFG,
23968,2005,Aug,Average, AFG,
20.8035,2005,Sep,Average, AFG,
14.5482,2005,Oct,Average, AFG,
7.36499,2005,Nov,Average, AFG,
3.53897,2005,Dec,Average, AFG,
-0.5844,2006,Jan,Average, AFG,
6.36982,2006,Feb,Average, AFG,
9.07679,2006,Mar,Average, AFG,
14.7185,2006,Apr,Average, AFG,
21.7727,2006,May,Average, AFG,
23.2928,2006,Jun,Average, AFG,
25.9808,2006,Jul,Average, AFG,
24.38,2006,Aug,Average, AFG,
19.3212,2006,Sep,Average, AFG,
16.3872,2006,Oct,Average, AFG,
8.09956,2006,Nov,Average, AFG,
1.19483,2006,Dec,Average, AFG,
0.50812,2007,Jan,Average, AFG,
3.83634,2007,Feb,Average, AFG,
7.24586,2007,Mar,Average, AFG,
16.5387,2007,Apr,Average, AFG,
19.1082,2007,May,Average, AFG,
23.8027,2007,Jun,Average, AFG,
25.1984,2007,Jul,Average, AFG,
23979,2007,Aug,Average, AFG,
19.5104,2007,Sep,Average, AFG,
11.8312,2007,Oct,Average, AFG,
8.87729,2007,Nov,Average, AFG,
1.69748,2007,Dec,Average, AFG,
-4.1737,2008,Jan,Average, AFG,
0.89203,2008,Feb,Average, AFG,
11.7119,2008,Mar,Average, AFG,
14.5478,2008,Apr,Average, AFG,
20.8788,2008,May,Average, AFG,
25.4792,2008,Jun,Average, AFG,
26.1291,2008,Jul,Average, AFG,
24.0675,2008,Aug,Average, AFG,
20.0349,2008,Sep,Average, AFG,
14.8832,2008,Oct,Average, AFG,
7.17362,2008,Nov,Average, AFG,
3.40945,2008,Dec,Average, AFG,
1.53049,2009,Jan,Average, AFG,
4.82674,2009,Feb,Average, AFG,
10.1183,2009,Mar,Average, AFG,
11.8273,2009,Apr,Average, AFG,
19.4634,2009,May,Average, AFG,
22.0704,2009,Jun,Average, AFG,
25.7536,2009,Jul,Average, AFG,
25.4188,2009,Aug,Average, AFG,
20.2366,2009,Sep,Average, AFG,
13.3825,2009,Oct,Average, AFG,
7.23475,2009,Nov,Average, AFG,
3.5232,2009,Dec,Average, AFG,
3.18115,2010,Jan,Average, AFG,
2.94048,2010,Feb,Average, AFG,
10.9348,2010,Mar,Average, AFG,
16.0153,2010,Apr,Average, AFG,
19.0795,2010,May,Average, AFG,
23.3312,2010,Jun,Average, AFG,
25.2624,2010,Jul,Average, AFG,
24.1389,2010,Aug,Average, AFG,
18.8161,2010,Sep,Average, AFG,
15.7737,2010,Oct,Average, AFG,
7.3301,2010,Nov,Average, AFG,
2.46686,2010,Dec,Average, AFG,
0.58207,2011,Jan,Average, AFG,
2.48703,2011,Feb,Average, AFG,
8.27917,2011,Mar,Average, AFG,
14.8614,2011,Apr,Average, AFG,
21.2962,2011,May,Average, AFG,
25.1002,2011,Jun,Average, AFG,
25.5349,2011,Jul,Average, AFG,
25.0517,2011,Aug,Average, AFG,
19.6493,2011,Sep,Average, AFG,
14.4057,2011,Oct,Average, AFG,
6.98109,2011,Nov,Average, AFG,
0.50918,2011,Dec,Average, AFG,
-0.5329,2012,Jan,Average, AFG,
-0.3738,2012,Feb,Average, AFG,
7.07321,2012,Mar,Average, AFG,
14.4267,2012,Apr,Average, AFG,
18.8992,2012,May,Average, AFG,
23.2849,2012,Jun,Average, AFG,
26.2565,2012,Jul,Average, AFG,
24.5623,2012,Aug,Average, AFG,
19.2339,2012,Sep,Average, AFG,
13.6072,2012,Oct,Average, AFG,
7.01731,2012,Nov,Average, AFG,
2.26085,2012,Dec,Average, AFG,
1.5778,2013,Jan,Average, AFG,
3.08646,2013,Feb,Average, AFG,
7.5901,2013,Mar,Average, AFG,
13.4938,2013,Apr,Average, AFG,
19.6124,2013,May,Average, AFG,
24.9157,2013,Jun,Average, AFG,
26.4471,2013,Jul,Average, AFG,
24.4465,2013,Aug,Average, AFG,
21.4541,2013,Sep,Average, AFG,
14.9802,2013,Oct,Average, AFG,
7.73942,2013,Nov,Average, AFG,
2.85806,2013,Dec,Average, AFG,
1.90191,2014,Jan,Average, AFG,
-0.2883,2014,Feb,Average, AFG,
7.97563,2014,Mar,Average, AFG,
13.8125,2014,Apr,Average, AFG,
19.2834,2014,May,Average, AFG,
24.8129,2014,Jun,Average, AFG,
26.3007,2014,Jul,Average, AFG,
25.1178,2014,Aug,Average, AFG,
21.4651,2014,Sep,Average, AFG,
14.3478,2014,Oct,Average, AFG,
6.67635,2014,Nov,Average, AFG,
2.36981,2014,Dec,Average, AFG,
1.95516,2015,Jan,Average, AFG,
3.41743,2015,Feb,Average, AFG,
6.99841,2015,Mar,Average, AFG,
14.7501,2015,Apr,Average, AFG,
19.4289,2015,May,Average, AFG,
25094,2015,Jun,Average, AFG,
26.3264,2015,Jul,Average, AFG,
24.1008,2015,Aug,Average, AFG,
19.0854,2015,Sep,Average, AFG,
14842,2015,Oct,Average, AFG,
7.47879,2015,Nov,Average, AFG,
2.92567,2015,Dec,Average, AFG,
3.56651,2016,Jan,Average, AFG,
4.34688,2016,Feb,Average, AFG,
8.86882,2016,Mar,Average, AFG,
14.4279,2016,Apr,Average, AFG,
20367,2016,May,Average, AFG,
25003,2016,Jun,Average, AFG,
26.7011,2016,Jul,Average, AFG,
24504,2016,Aug,Average, AFG,
21.6552,2016,Sep,Average, AFG,
13936,2016,Oct,Average, AFG,
6.16051,2016,Nov,Average, AFG,
4.62586,2016,Dec,Average, AFG,
1.53289,1991,Jan,Average, ALB,
1.91301,1991,Feb,Average, ALB,
8.11037,1991,Mar,Average, ALB,
8.98203,1991,Apr,Average, ALB,
11.7909,1991,May,Average, ALB,
18.8251,1991,Jun,Average, ALB,
20.6643,1991,Jul,Average, ALB,
20.7155,1991,Aug,Average, ALB,
18.0427,1991,Sep,Average, ALB,
12.5302,1991,Oct,Average, ALB,
8.2246,1991,Nov,Average, ALB,
1.12019,1991,Dec,Average, ALB,
1.48451,1992,Jan,Average, ALB,
2.23911,1992,Feb,Average, ALB,
5.87694,1992,Mar,Average, ALB,
9.67909,1992,Apr,Average, ALB,
14.8555,1992,May,Average, ALB,
17.8003,1992,Jun,Average, ALB,
20.4693,1992,Jul,Average, ALB,
23.0258,1992,Aug,Average, ALB,
17.6624,1992,Sep,Average, ALB,
14.1531,1992,Oct,Average, ALB,
8.54418,1992,Nov,Average, ALB,
2.97618,1992,Dec,Average, ALB,
1.5604,1993,Jan,Average, ALB,
1.12405,1993,Feb,Average, ALB,
5.01183,1993,Mar,Average, ALB,
10.29,1993,Apr,Average, ALB,
15.9145,1993,May,Average, ALB,
19.4725,1993,Jun,Average, ALB,
20.6944,1993,Jul,Average, ALB,
22.1643,1993,Aug,Average, ALB,
17158,1993,Sep,Average, ALB,
13.9114,1993,Oct,Average, ALB,
6.93816,1993,Nov,Average, ALB,
4.90854,1993,Dec,Average, ALB,
3.75962,1994,Jan,Average, ALB,
3.52546,1994,Feb,Average, ALB,
7.83775,1994,Mar,Average, ALB,
10.6027,1994,Apr,Average, ALB,
15711,1994,May,Average, ALB,
18.9145,1994,Jun,Average, ALB,
22.8277,1994,Jul,Average, ALB,
23.3111,1994,Aug,Average, ALB,
19.9504,1994,Sep,Average, ALB,
13266,1994,Oct,Average, ALB,
7.14062,1994,Nov,Average, ALB,
3.47463,1994,Dec,Average, ALB,
2.04014,1995,Jan,Average, ALB,
5.56375,1995,Feb,Average, ALB,
5.55997,1995,Mar,Average, ALB,
9.23031,1995,Apr,Average, ALB,
